# SAMB matrix from graphene.pkl (2026-07-19 22:52:26)
# select
#   X: ['Q','G','M','T']
#   l: [0,1,2,3,4,5,6,7,8,9,10,11]
#   Gamma: ['A1g','A1u','A2g','A2u','B1g','B1u','B2g','B2u','E1g','E1u','E2g','E2u']
#   s: [0,1]
#   site: [('C',[1])]
#   bond: [('C','C',1,[1],[1]),('C','C',2,[1],[1])]
# basis (2)
#    0 pz@C(1): [ 0.333333,  0.666667,  0.000000]
#    1 pz@C(2): [ 0.666667,  0.333333,  0.000000]
# z2   = 1.0
#
# n1   n2   n3    m    n    re                        im
   0   -1    0    1    0     4.082482904638630e-01     0.000000000000000e+00
   1    0    0    1    0     4.082482904638630e-01     0.000000000000000e+00
   0    0    0    1    0     4.082482904638630e-01     0.000000000000000e+00
   0    1    0    0    1     4.082482904638630e-01     0.000000000000000e+00
  -1    0    0    0    1     4.082482904638630e-01     0.000000000000000e+00
   0    0    0    0    1     4.082482904638630e-01     0.000000000000000e+00
